Game Name,User Rating
Broken Sword 3 - the Sleeping Dragon,79.877
Crash Time 3,48.887
Puzzler World,75.997
Ziro,69.334
Disciples III - Renaissance Steam Special Edition,8.236
eversion,45.771
18 Wheels of Steel: Extreme Trucker,79.872
Prison Tycoon 4: SuperMax,40.811
The Search for Amelia Earhart,4.942
Drakensang: The River of Time,2.89
Elizabeth Find M.D. - Diagnosis Mystery - Season 2,67.295
Arma 2,7.817
Arma 2: Operation Arrowhead,79.998
Fish Fillets 2,80
ARMA II: Operation Arrowhead Demo,45.055
Pound of Ground,41.831
Alternativa,28.947
Alpha Protocol™,31.88
Total War: NAPOLEON – Definitive Edition,80
Napoleon: Total War Demo,80
Football Manager™ 2010 Demo,46.651
Sonic & SEGA All-Stars Racing,0
Aliens vs. Predator Demo,80
Football Manager 2011,0
SEGA Mega Drive and Genesis Classics,38.445
Comix Zone™,80
Crack Down™,5.382
Ecco the Dolphin™,3.414
Gain Ground™,3.746
Golden Axe™,0
Shinobi™ III: Return of the Ninja Master,7.292
Sonic 3D Blast™,0
Space Harrier™ II,5.704
VectorMan™,0
Altered Beast™,3.414
Shadow Dancer™,5.058
Alex Kidd™ in the Enchanted Castle,11.823
Bonanza Bros.™,2.439
Columns™,0
Dr. Robotnik’s Mean Bean Machine™,3.746
Ecco™ Jr.,4.076
Eternal Champions™,0
Fatal Labyrinth™,0
Galaxy Force II™,3.746
Kid Chameleon™,0
Ristar™,0
Sonic Spinball™,0
Super Thunder Blade™,3.414
Alien Storm,0
Bio-Hazard Battle™,0
Columns™ III,0
Decap Attack™,0
Ecco™: The Tides of Time,0
Total War: SHOGUN 2,0
Total War: SHOGUN 2 Demo,80
NecroVision Demo,20.735
Death to Spies: Moment of Truth,0
XIII Century – Gold Edition,73.563
Light of Altair,28.736
Light of Altair Demo,14.104
Order of War™,0
Order of War Demo,57.297
Massive Assault,0
Massive Assault: Phantom Renaissance,9.448
Massive Assault Network 2 Demo,12.689
Chronicles of Mystery: The Scorpio Ritual,0
Project Freedom,26.849
Combat Wings: Battle of Britain,50.274
Sniper: Ghost Warrior,58.344
Sniper: Ghost Warrior 2,50
Sniper Ghost Warrior 2 Demo,60
Bad Rats: the Rats' Revenge,15.104
Bad Rats: the Rats' Revenge Demo,60
Razor2: Hidden Skies,10.669
Razor2: Hidden Skies Demo,27.207
Mini Ninjas,0
Championship Manager 2010,80
Mini Ninjas Demo,42.587
Flora's Fruit Farm,6.25
Just Cause 2 Demo,28.198
Lara Croft and the Guardian of Light,36.964
Batman: Arkham Asylum Game of the Year Edition,80
Lara Croft and the Guardian of Light Demo,90
Warfare,4.076
Clutch,52.145
Insane 2,40.907
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,76.096
The Ball,80
Dwarfs!?,59.744
The Ball Demo,59.649
Big Brain Wolf,0
Trine Enchanted Edition,18.75
Trine Demo,90
Trine 2: Complete Story,0
BRAINPIPE: A Plunge to Unhumanity,90
Foreign Legion: Buckets of Blood,49.825
Tradewinds Caravans + Odyssey Pack,39.701
Westward Collection,0
Angle of Attack,7.604
All Aspect Warfare,0
All Aspect Warfare Demo,2.517
Angle of Attack Demo,0
The Void,0
Chocolatier®: Decadence by Design™,79.635
Cooking Dash®,42.981
Diaper Dash®,26.74
Diner Dash:® Hometown Hero™,6.749
Emerald City Confidential™,29.987
Wandering Willows™,31.478
Wedding Dash® 2: Rings Around the World,8.84
Zenerchi®,22.773
DinerTown Tycoon,5.058
DinerTown Detective Agency™,5.875
The Nightshift Code™,3.443
Nightshift Legacy: The Jaguar's Eye™,0
Fitness Dash™,0
Mahjong Roadshow™,4.335
TriJinx: A Kristine Kross Mystery™,3.147
Valerie Porter and the Scarlet Scandal™,0
Gemini Lost™,3.147
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",15.211
"Time Gentlemen, Please! Demo",77.383
Magnetis ,0
Magnetis Demo,12.975
Windosill,0
Quantz,79.684
QuantZ Demo,10.273
Jewel Quest Pack,0
Mahjong Quest Collection,0
Coconut Queen,#VALUE!
Build-A-Lot,0
Build-A-Lot 2: Town of the Year,15.211
Build-A-Lot 3: Passport to Europe,18.316
Build-A-Lot 4: Power Source,5.382
Farm Frenzy,19.537
Farm Frenzy 2,8.225
Farm Frenzy: Pizza Party,6.344
Farm Frenzy 3,8.099
Farm Frenzy 3: American Pie,40.865
Cradle of Rome,44.233
Cradle of Persia,11.531
Romance of Rome,19.234
Roogoo,3.746
Hotel Giant 2,18.624
Fallout: A Post Nuclear Role Playing Game,4.076
Fallout 2: A Post Nuclear Role Playing Game,2.912
Fallout Tactics: Brotherhood of Steel,48.705
Kingpin — Life of Crime,37.975
Sacrifice,80
MDK,80
MDK 2,60
Earthworm Jim,53.184
Earthworm Jim 2,76.623
Faerie Solitaire,48.303
Toki Tori,38.256
Toki Tori Demo,27.08
RUSH,24.15
RUSH Demo,80
EDGE,79.998
EDGE Demo,0
Rhythm Zone - Demo,79.852
Moonbase Alpha,0
Gyromancer Demo,79.998
SEASON OF MYSTERY: The Cherry Blossom Murders,0
RIFT,0
FINAL FANTASY VII,80
FINAL FANTASY VIII,0
Dungeon Siege,62.327
Dungeon Siege II,60
FINAL FANTASY XIV Online,80
Dungeon Siege III Demo,80
Freeze Tag Fun Pack #1,80
Gothic® 3,60
Gothic II: Gold Edition,80
The Guild Gold Edition,6.314
Painkiller: Black Edition,#VALUE!
SpellForce - Platinum Edition,80
SpellForce 2 - Anniversary Edition,80
Painkiller: Resurrection,55.566
Painkiller: Resurrection Demo,79.995
AquaNox,80
AquaNox 2: Revelation,59.834
The Guild II,37.468
The Guild II - Pirates of the European Seas,0
Chaser,50.132
The Guild II Renaissance,43.234
ArcaniA,58.917
Nation Red,42.55
Nation Red Demo,59.861
Coniclysm,80
Supreme Commander 2,50
Supreme Commander 2 Demo,80
ItzaBitza,0
ItzaZoo,7.393
Risen,80
Risen Demo,5.704
Rush for Berlin Gold,3.776
Secret Files: Tunguska,5.058
Secret Files 2: Puritas Cordis,80
Lost Horizon,0
Lost Horizon Demo,45.463
nail'd,70.866
Risen 2: Dark Waters,49.825
AI War: Fleet Command,72.633
Tidalis,0
Sacraboar,79.836
Sacraboar Demo,60
Machinarium,79.969
Machinarium Demo,34.326
Samorost 2,11.243
Super Meat Boy,0
The Misadventures of P.B. Winterbottom,90
Stronghold HD (2012),3.414
Stronghold 2: Steam Edition,79.999
Stronghold Crusader HD,80
Stronghold Legends: Steam Edition,71.694
Mafia,90
Serious Sam HD: The First Encounter,80
Serious Sam HD: The Second Encounter,90
Serious Sam Classic: The First Encounter,79.999
Serious Sam Classic: The Second Encounter,80
Serious Sam 3: BFE,80
Hammerfight,78.356
Hammerfight Demo,90
Eufloria Demo,89.987
Altitude,80
Doom Rails,59.997
Torchlight,0
Torchlight Demo,0
Earthworm Jim 3D,79.994
Tommy Tronic,5.572
Tommy Tronic Demo,80
Death and the Fly,5.704
S.T.A.L.K.E.R.: Call of Pripyat,22.422
Ion Assault,4.531
Cargo! The Quest for Gravity,0
Gratuitous Space Battles,2.517
Gratuitous Space Battles Demo,90
The Bard's Tale ARPG: Remastered and Resnarkled,29.157
Trino,52.798
Lead and Gold: Gangs of the Wild West,59.059
Hamilton's Great Adventure,0
Hamilton's Great Adventure - Retro Fever DLC,59.917
Krater,3.38
Hamilton's Great Adventure Demo,59.999
Nancy Drew® Dossier: Resorting to Danger!,40.301
Nancy Drew®: Secrets Can Kill REMASTERED,0
Nancy Drew®: The Captive Curse,49.428
Nancy Drew®: Trail of the Twister,0
DogFighter,31.72
Singularity™,46.745
Call of Duty®: Modern Warfare® 3 (2011),50.422
Call of Duty®: Black Ops,26.263
For The Glory: A Europa Universalis Game,44.176
Arsenal of Democracy: A Hearts of Iron Game,80
Sword of the Stars: Complete Collection,80
Hearts of Iron III: Semper Fi,80
Magicka,31.373
The Kings' Crusade,67.038
Elven Legacy: Magic,77.005
Elven Legacy: Siege,0
Elven Legacy: Ranger,80
Victoria II,22.116
Victoria I Complete,4.984
Sword of the Stars II: Enhanced Edition,5.71
Front Mission Evolved,7.604
World of Zoo,80
The Haunted: Hells Reach,41.471
M.U.D. TV,49.522
Nancy Drew®: Warnings at Waverly Academy,49.831
Super Laser  Racer,41.838
Super Laser Racer Demo,78.1
Operation Flashpoint: Red River,29.773
GRID 2,61.328
GTR - FIA GT Racing Game,30.744
RACE Injection,0
GT Legends,49.973
Sol Survivor,80
Sol Survivor Demo,20.717
Secret of the Magic Crystals,5.058
Defense of the Oasis,63.929
Wings of Prey,70.252
Wings of Prey Demo,0
Fortix,79.979
