Game Name,User Rating
Zen of Sudoku,63.273
Natural Selection 2,80
STAR WARS™ Republic Commando™,90
Indiana Jones® and the Fate of Atlantis™,79.906
STAR WARS™ Jedi Knight - Jedi Academy™,90
STAR WARS™ Jedi Knight II - Jedi Outcast™,80
The Dig®,79.744
"STAR WARS™ Battlefront II (Classic, 2005)",80
Thrillville®: Off the Rails™,78.745
Armed and Dangerous®,60.371
Shank,80
Shank Demo,0
Ghost Master®,79.992
Vegas: Make It Big™,33.04
FlatOut,80
FlatOut Demo,3.746
Making History: The Calm & the Storm,57.158
Making History Demo,0
Ducati World Championship,31.328
Dreamfall: The Longest Journey,79.694
The Longest Journey,79.995
The Longest Journey Demo,0
Bloodline Champions,79.983
Joint Task Force,61.606
Joint Task Force Demo,0
Nexus - The Jupiter Incident,79.332
Lost Planet™: Extreme Condition,79.991
Lost Planet Demo,0
Bullet Candy,17.148
Commandos: Behind Enemy Lines,80
Commandos: Beyond the Call of Duty,79.404
Commandos 2: Men of Courage,80
Commandos 3: Destination Berlin,49.745
Hitman 2: Silent Assassin,80
Hitman: Blood Money,80
Battlestations: Midway,59.271
Just Cause,50
Hitman: Codename 47,60
Deus Ex: Game of the Year Edition,80
Deus Ex: Invisible War,49.999
Just Cause Demo,0
Battlestations: Midway Demo,0
Hitman Blood Money Demo,3.414
Thief: Deadly Shadows,79.999
Tomb Raider: Legend,80
Project: Snowblind,57.48
Rogue Trooper,71.939
Tomb Raider: Legend Demo,0
Project: Snowblind Demo,0
Jade Empire™: Special Edition,59.995
Trackmania United Forever,80
"Runaway, A Road Adventure",57.967
"Runaway, The Dream of The Turtle",41.091
"Runaway, The Dream of The Turtle Demo",0
Loki,33.356
Loki Demo - Egyptian Sorcerer,0
Azada,14.104
X-Blades,50
Two Worlds II HD,50
Two Worlds II Castle Defense,48.21
Sid Meier's Railroads!,60
Railroad Tycoon 3,59.777
Railroad Tycoon II Platinum,79.83
X-COM: Terror From the Deep,78.707
X-COM: Apocalypse,78.936
BioShock™,80
BioShock Demo,0
X-COM: Interceptor,30.759
X-COM: UFO Defense,80
X-COM: Enforcer,43.691
Stubbs the Zombie in Rebel Without a Pulse,79.998
Men of War™,80
Death Track®: Resurrection,26.263
NecroVision,49.985
Men of War™ Demo,4.076
Call of Duty® 4: Modern Warfare® (2007),80
Tomb Raider: Anniversary,80
Tomb Raider: Anniversary Demo,4.076
Kane and Lynch: Dead Men™,50
Conflict: Denied Ops Demo,0
Conflict: Denied Ops,43.199
Tomb Raider: Underworld,60
Tomb Raider: Underworld Demo,0
Battlestations Pacific,60
Battlestations Pacific Demo,0
Just Cause 2,80
Bone: Out From Boneville,31.421
Bone: The Great Cow Race,21.296
Telltale Texas Hold ‘Em,38.154
Geometry Wars: Retro Evolved,79.461
EVE Online,60
RACE 07,80
STCC - The Game Demo,0
GTR Evolution Demo,0
RACE On Demo,0
RACE On,#VALUE!
GTR 2 FIA GT Racing Game,62.415
Civilization IV: Beyond the Sword,90
Civilization IV: Beyond the Sword Demo,0
BioShock® 2,80
BioShock Infinite,80
Freedom Force,46.076
Freedom Force vs. the Third Reich,60.371
Freedom Force Demo,0
Freedom Force vs. the Third Reich Demo,0
Sid Meier's Civilization® V,90
Axel & Pixel,22.873
Borderlands Game of the Year,80
Return to Castle Wolfenstein,80
DOOM 3,80
HeXen II,73.938
Hexen II Demo,0
Commander Keen,79.948
RAGE,60
Company of Heroes Singleplayer Demo,3.746
"Warhammer® 40,000: Dawn of War® – Winter Assault",79.998
Dawn of War® Demo,0
Dawn of War® - Winter Assault Demo,0
Company of Heroes: Opposing Fronts,79.658
Supreme Commander,80
Supreme Commander: Forged Alliance,90
"Warhammer® 40,000: Dawn of War® - Soulstorm Demo",0
"Warhammer® 40,000: Dawn of War® - Soulstorm",90
Frontlines™: Fuel of War™,49.578
Saints Row 2,60
Gish,45.184
Gish Demo,0
Desperados 2: Cooper's Revenge,36.973
Tycoon City: New York,36.236
Act of War: High Treason,72.922
Death to Spies,59.337
Codename: Panzers - Cold War,35.888
Champions Online,60
Star Trek Online,60
Blade Kitten,79.595
Blade Kitten Demo,0
Haunted House™ (2010),6.749
Star Raiders,4.942
The UnderGarden,18.119
Call of Duty: World at War,80
King's Quest™ Collection,65.888
Space Quest™ Collection,66.842
Aces of the Galaxy™,10.273
TimeShift™,59.908
3D Ultra™ Minigolf Adventures,22.968
Prototype™,80
Call of Duty®: Modern Warfare® 2 (2009),80
Postal III,50
Dead Mountaineer's Hotel,17.152
A Stroke of Fate: Operation Valkyrie,7.393
PT Boats: Knights of the Sea,9.874
PT Boats: South Gambit,6.532
Disciples III: Reincarnation,59.986
The Club™,28.198
Total War: EMPIRE – Definitive Edition,80
Beijing 2008™ - The Official Video Game of the Olympic Games,0
Empire: Total War™ Demo,12.113
Aliens vs. Predator™,80
Loki Demo - Norse Warrior,0
TrackMania Nations Forever,80
Sherlock Holmes - Nemesis,57.028
Dracula: Origin,47.073
Sherlock Holmes - Nemesis Demo,0
Dracula Origin Demo,0
Sherlock Holmes: The Mystery of the Mummy,35.868
Sherlock Holmes: The Awakened (2008),58.546
Sherlock Holmes: The Silver Earring,47.77
Sherlock Holmes: The Mystery of the Persian Carpet,36.583
Sherlock Holmes versus Jack the Ripper,79.7
Shadowgrounds Survivor,48.92
Shadowgrounds Survivor Demo,0
Gumboy Tournament,45.111
Space Trader: Merchant Marine,47.941
Pacific Storm,12.959
Pacific Storm Allies,33.522
Gumboy Tournament Demo,0
Penguins Arena: Sedna's World,79.914
Larva Mortus,58.546
Nikopol: Secrets of the Immortals,42.332
Crash Time 2,50
Overlord™,80
Overlord™ Demo,0
Soldiers: Heroes of World War II,77.9
Second Sight,41.285
Maelstrom: The Battle for Earth Begins,27.421
Hospital Tycoon,47.249
LUMINES™ Demo,0
LUMINES™ Advance Pack,8.225
Manhunt,50
Max Payne,80
Max Payne 2: The Fall of Max Payne,80
Grand Theft Auto 2,71.694
Bully: Scholarship Edition,80
Grand Theft Auto IV: The Complete Edition,80
Grand Theft Auto: Episodes from Liberty City,60
Culpa Innata,24.15
Sacred Gold,80
Darkstar One,75.232
Jack Keane,22.145
FlatOut: Ultimate Carnage Collector's Edition,80
Exodus from the Earth ,32.935
Perimeter 2: New Earth,11.953
SlamIt Pinball Big Score,18.803
Ankh 2: Heart of Osiris ,12.773
Ankh 3: Battle of the Gods,10.134
BC Kings,31.698
Port Royale 2,56.906
9th Company: Roots Of Terror,33.686
PuzzleQuest: Challenge of the Warlords,79.554
Prison Tycoon 3™: Lockdown,17.937
18 Wheels of Steel: American Long Haul,54.691
Hunting Unlimited™ 2008,22.773
Mahjongg Investigations: Under Suspicion,9.126
Ride! Carnival Tycoon,10.669
Hot Dish,7.179
Dr. Daisy Pet Vet,6.095
Sprint Cars Road to Knoxville,13.693
Midnight Outlaw: 6 Hours to SunUp,8.377
Drakensang,77.37
Mission Runway,5.208
Hunting Unlimited 2010,63.439
Overlord™: Raising Hell,79.999
Rise of the Argonauts,58.723
Damnation,44.597
Overlord II,80
Overlord II Demo,0
Operation Flashpoint: Dragon Rising,50
Operation Flashpoint: Dragon Rising Demo,0
AudioSurf,90
AudioSurf Demo,14.104
Ninja Reflex: Steamworks Edition,21.324
Ninja Reflex Demo,0
America's Army 3,60
Prince of Persia: Warrior Within™,80
Far Cry®,80
Prince of Persia: The Two Thrones™,59.998
Tom Clancy's Rainbow Six® Vegas,59.941
Tom Clancy's Splinter Cell®,80
Tom Clancy's Splinter Cell Chaos Theory®,80
Tom Clancy's Splinter Cell Double Agent®,39.986
Prince of Persia®: The Sands of Time,80
Tom Clancy's Ghost Recon® Desert Siege™,38.652
Tom Clancy's Ghost Recon® Island Thunder™,40.668
Tom Clancy's Rainbow Six Lockdown™,44.962
Rayman Raving Rabbids™,79.961
Assassin's Creed™: Director's Cut Edition,80
Tom Clancy's Rainbow Six® Vegas 2,80
Beyond Good and Evil™,80
Petz® Horsez® 2,37.141
Heroes of Might & Magic V,80
Brothers in Arms: Road to Hill 30™,79.988
Silent Hunter®: Wolves of the Pacific,49.67
Silent Hunter® III,79.999
Silent Hunter®: Wolves of the Pacific U-Boat Missions,61.421
Cold Fear™,79.74
Tom Clancy's Ghost Recon®,79.932
IL-2 Sturmovik: 1946,80
Heroes of Might & Magic V: Tribes of the East,80
Heroes of Might & Magic V: Hammers of Fate,63.686
Brothers in Arms: Hell's Highway™,79.997
Harvest: Massive Encounter,32.219
The Wonderful End of the World,57.852
The Wonderful End of the World Demo,0
AaAaAA!!! - A Reckless Disregard for Gravity,78.052
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,59.74
"Warhammer 40,000: Dawn of War II - Anniversary Edition",80
"Warhammer® 40,000™: Dawn of War® II Single-player Demo",0
Oddworld: Abe's Oddysee®,80
Oddworld: Abe's Exoddus®,79.961
Oddworld: Abe's Exoddus® Demo,0
Oddworld: Abe's Oddysee® Demo,0
Oddworld: Munch's Oddysee,59.575
Oddworld: Stranger's Wrath HD,79.97
Planet Busters,0
Planet Busters Demo,0
7 Wonders II,37.705
7 Wonders II Demo,0
Luxor Amun Rising,7.605
Luxor Amun Rising Demo,0
Luxor 2,9.063
Luxor 2 Demo,0
Luxor 3,49.061
Luxor 3 Demo,0
Reaxxion Demo,0
Little Farm,22.696
Little Farm Demo,0
Luxor,21.582
Luxor Demo,0
Discovery! A Seek and Find Adventure,14.411
Discovery! A Seek and Find Adventure Demo,0
Samantha Swift and the Hidden Roses of Athena,17.148
Samantha Swift and the Hidden Roses of Athena Demo,0
7 Wonders: Treasures of Seven,30.501
7 Wonders: Treasures of Seven Demo,0
Luxor: Quest for the Afterlife,34.984
Luxor: Quest for the Afterlife Demo,0
Samantha Swift and the Golden Touch,15.739
Samantha Swift and the Golden Touch Demo,0
Virtual Villagers: A New Home,39.874
Virtual Villagers: The Lost Children,24.186
Plant Tycoon,48.277
Fish Tycoon,31.96
Virtual Villagers: A New Home Demo,0
Virtual Villagers: The Lost Children Demo,0
Plant Tycoon Demo,0
Fish Tycoon Demo,0
Virtual Villagers - The Secret City,36.964
Virtual Villagers - The Secret City Demo,0
Virtual Families,21.617
Virtual Families Demo,0
Everyday Shooter,34.758
F.E.A.R. 2: Project Origin,80
F.E.A.R.2: Project Origin Demo,0
Chaos Theory,4.405
